time P_1 P_2 P_{tot}
1.390009999999999968e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.400009999999999977e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.410009999999999986e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.420009999999999994e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.430010000000000003e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.440010000000000012e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.450010000000000021e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.460010000000000030e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.470010000000000039e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.480010000000000048e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.490010000000000057e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500010000000000066e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.510010000000000074e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.520010000000000083e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.530010000000000092e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.540010000000000101e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550010000000000110e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.560009999999999897e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.570009999999999906e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.580009999999999915e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.590009999999999923e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.600009999999999932e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.610009999999999941e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.620009999999999950e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.630009999999999959e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.640009999999999968e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.650009999999999977e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.660009999999999986e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.670009999999999994e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.680010000000000003e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.690010000000000012e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700010000000000021e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
