time	i_C	u_C	i_D	u_D	i_L	u_L
2.39620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.89668715648e-64
2.40620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.36839079251e-64
2.41620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.62641372719e-64
2.42620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	8.84436661866e-65
2.43620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.42459596542e-65
2.44620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	-1.08321083867e-79
2.45620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	-7.53767152941e-80
2.46620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	-4.24323467215e-80
2.47620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	-9.48797814891e-81
2.48620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.34563904237e-80
2.49620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	5.64007589963e-80
2.50620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	8.93451275689e-80
2.51620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.22289496141e-79
2.52620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.55233864714e-79
2.53620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.88178233287e-79
2.54620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.21122601859e-79
2.55620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.54066970432e-79
2.56620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.87011339004e-79
2.57620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	3.19955707577e-79
2.58620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	3.5290007615e-79
2.59620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	3.85844444722e-79
2.60620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	4.18788813295e-79
2.61620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	4.51733181867e-79
2.62620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	4.8467755044e-79
2.63620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	5.17621919013e-79
2.64620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	5.50566287585e-79
2.65620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	5.83510656158e-79
2.66620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	6.1645502473e-79
2.67620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	6.49399393303e-79
2.68620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	6.82343761876e-79
2.69620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	7.15288130448e-79
2.70620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	7.48232499021e-79
2.71620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	7.81176867593e-79
2.72620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	8.14121236166e-79
2.73620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	8.47065604739e-79
2.74620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	8.80009973311e-79
2.75620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	9.12954341884e-79
2.76620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	9.45898710456e-79
2.77620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	9.78843079029e-79
2.78620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.0117874476e-78
2.79620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.04473181617e-78
2.80620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.07767618475e-78
2.81620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.11062055332e-78
2.82620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.14356492189e-78
2.83620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.17650929046e-78
2.84620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.20945365904e-78
2.85620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.24239802761e-78
2.86620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.27534239618e-78
2.87620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.30828676475e-78
2.88620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.34123113333e-78
2.89620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.3741755019e-78
2.90620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.40711987047e-78
2.91620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.44006423905e-78
2.92620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.47300860762e-78
2.93620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.50595297619e-78
2.94620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.53889734476e-78
2.95620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.57184171334e-78
2.96620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.60478608191e-78
2.97620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.63773045048e-78
2.98620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.67067481905e-78
2.99620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.70361918763e-78
3.00620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.7365635562e-78
3.01620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.76950792477e-78
3.02620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.80245229334e-78
3.03620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.83539666192e-78
3.04620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.86834103049e-78
3.05620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.90128539906e-78
3.06620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.93422976763e-78
3.07620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	1.96717413621e-78
3.08620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.00011850478e-78
3.09620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.03306287335e-78
3.10620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.06600724192e-78
3.11620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.0989516105e-78
3.12620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.13189597907e-78
3.13620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.16484034764e-78
3.14620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.19778471621e-78
3.15620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.23072908479e-78
3.16620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.26367345336e-78
3.17620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.29661782193e-78
3.18620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.32956219051e-78
3.19620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.36250655908e-78
3.20620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.39545092765e-78
3.21620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.42839529622e-78
3.22620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.4613396648e-78
3.23620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.49428403337e-78
3.24620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.52722840194e-78
3.25620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.56017277051e-78
3.26620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.59311713909e-78
3.27620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.62606150766e-78
3.28620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.65900587623e-78
3.29620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.6919502448e-78
3.30620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.72489461338e-78
3.31620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.75783898195e-78
3.32620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.79078335052e-78
3.33620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.82372771909e-78
3.34620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.85667208767e-78
3.35620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.88961645624e-78
3.36620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.92256082481e-78
3.37620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.95550519338e-78
3.38620449224	1.33815714874e-19	1.41421355258	1.33815714868e-19	-1.41421355258	1.65349467068e-19	2.98844956196e-78
