time P_D P_L P_R P_V P_{tot}
2.950009999999999799e+00 0.000000000000000000e+00 4.960027006781965453e-02 8.980600144348185321e-01 -9.476602840133617756e-01 0.000000000000000000e+00
2.960010000000000030e+00 0.000000000000000000e+00 4.913372594985106201e-02 8.990473473822230277e-01 -9.481810727759258928e-01 0.000000000000000000e+00
2.970009999999999817e+00 0.000000000000000000e+00 4.867128966702612830e-02 9.000253903166707259e-01 -9.486966796123030843e-01 0.000000000000000000e+00
2.980010000000000048e+00 0.000000000000000000e+00 4.821293094945739571e-02 9.009942253774944065e-01 -9.492071560210481040e-01 0.000000000000000000e+00
2.990009999999999835e+00 0.000000000000000000e+00 4.775861960347406454e-02 9.019539336762216752e-01 -9.497125530543042427e-01 0.000000000000000000e+00
3.000010000000000066e+00 0.000000000000000000e+00 4.730832553093503728e-02 9.029045957560689617e-01 -9.502129212549960124e-01 0.000000000000000000e+00
3.000010000000000066e+00 6.651502000233999734e-01 -1.568057931840211916e+00 9.029077318187122003e-01 1.900257728948417935e-12 0.000000000000000000e+00
3.010009999999999852e+00 6.536562546604999246e-01 -1.525628702128010605e+00 8.719724474628417488e-01 -4.668931907758633315e-12 0.000000000000000000e+00
3.020010000000000083e+00 6.422766811299999157e-01 -1.484152875259321824e+00 8.418761941293217976e-01 -1.110223024625156540e-16 0.000000000000000000e+00
3.030009999999999870e+00 6.310103418192000158e-01 -1.443610446889711074e+00 8.126001050669053871e-01 -3.605671317075120896e-12 0.000000000000000000e+00
3.040010000000000101e+00 6.198561037619999547e-01 -1.403981796355892486e+00 7.841256925938924205e-01 -1.110223024625156540e-16 0.000000000000000000e+00
3.050009999999999888e+00 6.088128517897999359e-01 -1.365247726285155672e+00 7.564348744988346196e-01 3.478883847662928019e-12 0.000000000000000000e+00
3.060010000000000119e+00 5.978794818457999760e-01 -1.327389430438714601e+00 7.295099485963312258e-01 3.416600335981456737e-12 0.000000000000000000e+00
3.070009999999999906e+00 5.870549002751999090e-01 -1.290388483823707633e+00 7.033335835451530738e-01 -3.354649891207373003e-12 0.000000000000000000e+00
3.080010000000000137e+00 5.763380247099999520e-01 -1.254226838437805247e+00 6.778888137278051840e-01 -1.110223024625156540e-16 0.000000000000000000e+00
3.090009999999999923e+00 5.657277838568999240e-01 -1.218886815344302876e+00 6.531590314849782253e-01 -2.424727085781341884e-12 0.000000000000000000e+00
3.100010000000000154e+00 5.552231166404999474e-01 -1.184351094709752195e+00 6.291279780652863085e-01 -3.965938688565984194e-12 0.000000000000000000e+00
3.110009999999999941e+00 5.448229726540999573e-01 -1.150602710471459345e+00 6.057797378196941862e-01 2.334799020786704205e-12 0.000000000000000000e+00
3.120010000000000172e+00 5.345263119349998870e-01 -1.117625042855067141e+00 5.830987309200671431e-01 -1.110223024625156540e-16 0.000000000000000000e+00
3.130009999999999959e+00 5.243321046137999764e-01 -1.085401810587817817e+00 5.610697059770139994e-01 2.996158876555909956e-12 0.000000000000000000e+00
3.140010000000000190e+00 5.142393312881999856e-01 -1.053917065666108099e+00 5.396777343749696865e-01 -2.938427279275401816e-12 0.000000000000000000e+00
3.150009999999999977e+00 5.042469825903999059e-01 -1.023155185551251511e+00 5.189082029622921199e-01 1.440514374451140611e-12 0.000000000000000000e+00
3.160010000000000208e+00 4.943540595468999266e-01 -9.931008681010592420e-01 4.987468085520406769e-01 -2.118638597892186226e-12 0.000000000000000000e+00
3.170009999999999994e+00 4.845595724843999585e-01 -9.637391220468206621e-01 4.791795495638050961e-01 1.384392600556338948e-12 0.000000000000000000e+00
3.180009999999999781e+00 4.748625423499999165e-01 -9.350552650583786596e-01 4.601927227083786320e-01 -1.110223024625156540e-16 0.000000000000000000e+00
3.190010000000000012e+00 4.652619991032999058e-01 -9.070349130011057248e-01 4.417729138971410174e-01 -6.648015471455437364e-13 0.000000000000000000e+00
3.200009999999999799e+00 4.557569829854999921e-01 -8.796639779684397586e-01 4.239069949796844261e-01 -3.255340441654652750e-12 0.000000000000000000e+00
3.210010000000000030e+00 4.463465432916000064e-01 -8.529286590242226573e-01 4.065821157313472822e-01 -1.275368699538148576e-12 0.000000000000000000e+00
3.220009999999999817e+00 4.370297390843999596e-01 -8.268154387651487358e-01 3.897856996819973885e-01 1.248612324644682303e-12 0.000000000000000000e+00
3.230010000000000048e+00 4.278056386365999830e-01 -8.013110762893921324e-01 3.735054376515697938e-01 -1.222355550112297351e-12 0.000000000000000000e+00
3.240009999999999835e+00 4.186733195035999833e-01 -7.764026020847217824e-01 3.577292825799255893e-01 -1.196209797882374914e-12 0.000000000000000000e+00
3.250010000000000066e+00 4.096318686257000019e-01 -7.520773131022224778e-01 3.424454444771076744e-01 5.851985562799200125e-13 0.000000000000000000e+00
3.260009999999999852e+00 4.006803817302999615e-01 -7.283227660238089651e-01 3.276423842929365726e-01 -5.724309914967307122e-13 0.000000000000000000e+00
3.270010000000000083e+00 3.918179637805999649e-01 -7.051267734575880075e-01 3.133088096758684937e-01 -1.119548898032007855e-12 0.000000000000000000e+00
3.280009999999999870e+00 3.830437284127999886e-01 -6.824773975460782793e-01 2.994336691354670954e-01 2.188804693048496119e-12 0.000000000000000000e+00
