time	i_D	u_D	i_L	u_L	i_R	u_R	i_V	u_V
0.73001	-7.99463414837e-44	-0.481908990581	0.518091009419	0.481908990581	0.518091009419	0.518091009419	-0.518091009419	1.
0.74001	-8.31143504186e-44	-0.477113915832	0.522886084168	0.477113915832	0.522886084168	0.522886084168	-0.522886084168	1.
0.75001	-4.55002541224e-44	-0.472366552858	0.527633447142	0.472366552858	0.527633447142	0.527633447142	-0.527633447142	1.
0.76001	5.896016006e-44	-0.467666426911	0.532333573089	0.467666426911	0.532333573089	0.532333573089	-0.532333573089	1.
0.77001	1.68674845367e-43	-0.463013068008	0.536986931992	0.463013068008	0.536986931992	0.536986931992	-0.536986931992	1.
0.78001	1.87301047615e-43	-0.458406010855	0.541593989145	0.458406010854	0.541593989145	0.541593989145	-0.541593989145	1.
0.79001	1.2450512403e-43	-0.453844794712	0.546155205288	0.453844794712	0.546155205288	0.546155205288	-0.546155205288	1.
0.80001	-7.50804798224e-44	-0.449328963445	0.550671036555	0.449328963445	0.550671036555	0.550671036555	-0.550671036555	1.
0.81001	-3.55734011096e-43	-0.444858065473	0.555141934527	0.444858065474	0.555141934527	0.555141934527	-0.555141934527	1.
0.82001	-4.18829899586e-43	-0.440431653755	0.559568346245	0.440431653756	0.559568346245	0.559568346245	-0.559568346245	1.
0.83001	-3.2025927655e-43	-0.43604928559	0.56395071441	0.43604928559	0.56395071441	0.56395071441	-0.56395071441	1.
0.84001	5.7123214729e-44	-0.431710522701	0.568289477299	0.431710522701	0.568289477299	0.568289477299	-0.568289477299	1.
0.85001	7.4275887852e-43	-0.427414931176	0.572585068824	0.427414931175	0.572585068824	0.572585068824	-0.572585068824	1.
0.86001	9.25751641412e-43	-0.423162081591	0.576837918409	0.42316208159	0.576837918409	0.576837918409	-0.576837918409	1.
0.87001	7.89842350943e-43	-0.418951548549	0.581048451451	0.418951548548	0.581048451451	0.581048451451	-0.581048451451	1.
0.88001	8.73445311601e-44	-0.414782910954	0.585217089046	0.414782910954	0.585217089046	0.585217089046	-0.585217089046	1.
0.89001	-1.50091520793e-42	-0.410655751883	0.589344248117	0.410655751885	0.589344248117	0.589344248117	-0.589344248117	1.
0.90001	-2.02070272578e-42	-0.406569658802	0.593430341198	0.406569658805	0.593430341199	0.593430341199	-0.593430341198	1.
0.91001	-1.8852530301e-42	-0.402524223001	0.597475776999	0.402524223004	0.597475776999	0.597475776999	-0.597475776999	1.
0.92001	-6.03180244303e-43	-0.398519039918	0.601480960082	0.398519039919	0.601480960082	0.601480960082	-0.601480960082	1.
0.93001	2.50422793615e-42	-0.394553709013	0.605446290988	0.394553709009	0.605446290987	0.605446290987	-0.605446290987	1.
0.94001	4.36423798003e-42	-0.390627833828	0.609372166172	0.390627833822	0.609372166171	0.609372166171	-0.609372166172	1.
0.95001	4.39366675786e-42	-0.386741021776	0.613258978225	0.386741021769	0.613258978224	0.613258978224	-0.613258978224	1.
0.96001	2.11335275673e-42	-0.382892884158	0.617107115842	0.382892884155	0.617107115842	0.617107115842	-0.617107115842	1.
0.97001	-3.9181974966e-42	-0.379083036156	0.620916963843	0.379083036162	0.620916963844	0.620916963844	-0.620916963844	1.
0.98001	-9.33150903867e-42	-0.37531109681	0.624688903189	0.375311096824	0.624688903191	0.624688903191	-0.62468890319	1.
0.99001	-1.00489722936e-41	-0.371576688936	0.628423311062	0.371576688952	0.628423311065	0.628423311065	-0.628423311064	1.
1.00001	-6.137468001e-42	-0.367879439069	0.63212056093	0.367879439079	0.632120560931	0.632120560931	-0.632120560931	1.
1.01001	5.46090925101e-42	-0.364218977459	0.635781022542	0.36421897745	0.635781022541	0.635781022541	-0.635781022541	1.
1.02001	1.97541966388e-41	-0.360594938066	0.639405061937	0.360594938035	0.639405061932	0.639405061932	-0.639405061934	1.
1.03001	2.26248915337e-41	-0.357006958527	0.642993041476	0.357006958492	0.642993041471	0.642993041471	-0.642993041473	1.
1.04001	1.62727848398e-41	-0.353454679976	0.646545320026	0.353454679951	0.646545320022	0.646545320022	-0.646545320024	1.
1.05001	-5.78103941984e-42	-0.349937747142	0.650062252857	0.349937747151	0.650062252858	0.650062252858	-0.650062252858	1.
