time	y	v	a
1.75785594684	2.70145403349	6.5675737724	-9.81
1.76785594684	2.76663927122	6.4694737724	-9.81
1.77785594684	2.83084350894	6.3713737724	-9.81
1.78785594684	2.89406674666	6.2732737724	-9.81
1.79785594684	2.95630898439	6.1751737724	-9.81
1.80785594684	3.01757022211	6.0770737724	-9.81
1.81785594684	3.07785045983	5.9789737724	-9.81
1.82785594684	3.13714969756	5.8808737724	-9.81
1.83785594684	3.19546793528	5.7827737724	-9.81
1.84785594684	3.25280517301	5.6846737724	-9.81
1.85785594684	3.30916141073	5.5865737724	-9.81
1.86785594684	3.36453664845	5.4884737724	-9.81
1.87785594684	3.41893088618	5.3903737724	-9.81
1.88785594684	3.4723441239	5.2922737724	-9.81
1.89785594684	3.52477636162	5.1941737724	-9.81
1.90785594684	3.57622759935	5.0960737724	-9.81
1.91785594684	3.62669783707	4.9979737724	-9.81
1.92785594684	3.67618707479	4.8998737724	-9.81
1.93785594684	3.72469531252	4.8017737724	-9.81
1.94785594684	3.77222255024	4.7036737724	-9.81
1.95785594684	3.81876878796	4.6055737724	-9.81
1.96785594684	3.86433402569	4.5074737724	-9.81
1.97785594684	3.90891826341	4.4093737724	-9.81
1.98785594684	3.95252150113	4.3112737724	-9.81
1.99785594684	3.99514373886	4.2131737724	-9.81
2.00785594684	4.03678497658	4.1150737724	-9.81
2.01785594684	4.0774452143	4.0169737724	-9.81
2.02785594684	4.11712445203	3.9188737724	-9.81
2.03785594684	4.15582268975	3.8207737724	-9.81
2.04785594684	4.19353992748	3.7226737724	-9.81
2.05785594684	4.2302761652	3.6245737724	-9.81
2.06785594684	4.26603140292	3.5264737724	-9.81
2.07785594684	4.30080564065	3.4283737724	-9.81
2.08785594684	4.33459887837	3.3302737724	-9.81
2.09785594684	4.36741111609	3.2321737724	-9.81
2.10785594684	4.39924235382	3.1340737724	-9.81
2.11785594684	4.43009259154	3.0359737724	-9.81
2.12785594684	4.45996182926	2.9378737724	-9.81
2.13785594684	4.48885006699	2.8397737724	-9.81
2.14785594684	4.51675730471	2.7416737724	-9.81
2.15785594684	4.54368354244	2.6435737724	-9.81
2.16785594684	4.56962878016	2.5454737724	-9.81
2.17785594684	4.59459301788	2.4473737724	-9.81
2.18785594684	4.61857625561	2.3492737724	-9.81
2.19785594684	4.64157849333	2.2511737724	-9.81
2.20785594684	4.66359973105	2.1530737724	-9.81
2.21785594684	4.68463996878	2.0549737724	-9.81
2.22785594684	4.7046992065	1.9568737724	-9.81
2.23785594684	4.72377744422	1.8587737724	-9.81
2.24785594684	4.74187468195	1.7606737724	-9.81
2.25785594684	4.75899091967	1.6625737724	-9.81
2.26785594684	4.7751261574	1.5644737724	-9.81
2.27785594684	4.79028039512	1.4663737724	-9.81
2.28785594684	4.80445363284	1.3682737724	-9.81
2.29785594684	4.81764587057	1.2701737724	-9.81
2.30785594684	4.82985710829	1.1720737724	-9.81
2.31785594684	4.84108734601	1.0739737724	-9.81
