time	x	y	vx	vy	ax	ay	t
0.54001	2.72649991711	1.2514261679	1.72321658742	-3.75445899204	-1.45080421782	-10.4758991959	?
0.55001	2.74365368594	1.21335578203	1.7069667528	-3.8598758719	-1.80151866436	-10.606707824	?
0.56001	2.76062717501	1.17422482787	1.68714151618	-3.96657007539	-2.16593095348	-10.7312763342	?
0.57001	2.77738400275	1.13402070029	1.66360287655	-4.07447602246	-2.54416483916	-10.8487954871	?
0.58001	2.79388632385	1.09273169381	1.6362111917	-4.18351931526	-2.9365258727	-10.9585280246	?
0.59001	2.81009489259	1.05034686819	1.60482532696	-4.29361721935	-3.34303791805	-11.0595468344	?
0.60001	2.82596904398	1.00685615534	1.56930300518	-4.40467832543	-3.76382183701	-11.151001641	?
0.61001	2.84146669276	0.96225044821	1.52950129362	-4.51660212711	-4.19893711399	-11.2319550935	?
0.62001	2.85654432767	0.916521660381	1.48527688704	-4.6292788043	-4.64837603885	-11.3014255666	?
0.63001	2.87115700822	0.86966284498	1.43648661978	-4.74258877793	-5.11209611552	-11.3584344785	?
0.64001	2.88525836441	0.821668302469	1.38298792443	-4.85640219277	-5.59003646627	-11.4019476416	?
0.65001	2.89880060496	0.772533687761	1.32463943097	-4.97057863074	-6.08204541513	-11.4308615117	?
0.66001	2.91173453214	0.722256117598	1.26130152748	-5.08496699655	-6.58788548378	-11.4441165467	?
0.67001	2.92400936676	0.670834496004	1.19283716621	-5.19940340957	-7.1073283849	-11.4405871427	?
0.68001	2.93557323118	0.618269145111	1.11911187937	-5.31371449806	-7.64006459454	-11.4190923302	?
0.69001	2.94637295009	0.564562153208	1.03999480631	-5.42771557419	-8.18566740361	-11.3784747486	?
0.70001	2.95635401538	0.50971755558	0.955359607689	-5.54120970377	-8.74364777508	-11.3175266976	?
0.71001	2.96546065032	0.453741446691	0.865085284802	-5.6539876356	-9.31343348138	-11.2350334895	?
0.72001	2.9736360151	0.396641840686	0.769056743284	-5.76582912478	-9.89427920555	-11.1297596537	?
0.73001	2.9808220229	0.338429245245	0.667166565327	-5.87650052458	-10.485456808	-11.0005136558	?
